model,layer,global_mode,image_name,label,global_flip_cosine,global_phase_cosine,score_flip_spearman,score_phase_spearman,score_normalized_entropy,score_top_probability_mass,score_std
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00028779.JPEG,74,0.9999518394470215,0.9999381899833679,0.8537401556968689,0.6137111186981201,0.9941941499710083,0.21238860487937927,0.024743027985095978
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00028825.JPEG,344,0.9999449849128723,0.9998484253883362,0.8817538022994995,0.663495659828186,0.9912050366401672,0.2193116843700409,0.03240401670336723
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00028835.JPEG,812,0.9999336004257202,0.9998612403869629,0.89034104347229,0.622177243232727,0.9864910244941711,0.24023045599460602,0.031500473618507385
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00028870.JPEG,261,0.9998811483383179,0.999925971031189,0.897791862487793,0.709016740322113,0.9869422912597656,0.24359413981437683,0.032372891902923584
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00028887.JPEG,740,0.9999046921730042,0.9998373985290527,0.835896372795105,0.3596506714820862,0.9875615239143372,0.23348689079284668,0.031465720385313034
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00028920.JPEG,133,0.9999421238899231,0.9999327063560486,0.8869000673294067,0.6594346761703491,0.9882535934448242,0.24885791540145874,0.03291718289256096
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00029045.JPEG,528,0.999934196472168,0.9998795986175537,0.8511136174201965,0.4965917468070984,0.9906089305877686,0.23396974802017212,0.030964689329266548
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00029093.JPEG,700,0.9999507069587708,0.9998747706413269,0.8350102305412292,0.6541529297828674,0.9868254065513611,0.23775261640548706,0.03302481397986412
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00029125.JPEG,766,0.9998949766159058,0.9998190402984619,0.9232379198074341,0.731820285320282,0.9902913570404053,0.2305709421634674,0.032609984278678894
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00029127.JPEG,196,0.9999109506607056,0.9998651146888733,0.7366319298744202,0.47715896368026733,0.9935862421989441,0.2135227471590042,0.02583939954638481
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00029156.JPEG,77,0.9998470544815063,0.9998552799224854,0.8458701372146606,0.6857413649559021,0.9907809495925903,0.2370433658361435,0.03004339337348938
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00029183.JPEG,696,0.9997555613517761,0.9998853206634521,0.8342564105987549,0.5516276359558105,0.9824326038360596,0.26896631717681885,0.03616737946867943
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00029207.JPEG,355,0.9999362230300903,0.9999144077301025,0.8959478139877319,0.6794029474258423,0.9857500195503235,0.2434908151626587,0.031096110120415688
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00029208.JPEG,75,0.9999074339866638,0.9999170303344727,0.7977767586708069,0.3856656849384308,0.9908596277236938,0.2263757437467575,0.025488918647170067
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00029572.JPEG,909,0.9999447464942932,0.9998335242271423,0.8432802557945251,0.566601037979126,0.9947285652160645,0.20961487293243408,0.023434460163116455
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00029594.JPEG,659,0.9998685121536255,0.9998795986175537,0.8715966939926147,0.6711297035217285,0.9804009795188904,0.27641934156417847,0.0383751317858696
vit_base_patch16_224,block3,cls,ILSVRC2012_val_00029709.JPEG,12,0.9999203681945801,0.9999171495437622,0.662212610244751,0.38080787658691406,0.9792532324790955,0.2626833915710449,0.03260451555252075
