model,condition,sample_index,image_name,preserved_view_fraction,preserved_route_distance,preserved_pair_distance,top_preserved_global_cosine,top_preserved_js,top_route_distance,top_pair_distance,all_view_global_cosine,all_view_js,all_view_route_distance,route_view_count
cait_s24_224,opponent,12,ILSVRC2012_val_00031762.JPEG,0.0,0.0,0.10420405119657516,0.9576351046562195,0.015128055587410927,0.1853265017271042,0.10420405119657516,0.9459859728813171,0.028885623440146446,0.24172960221767426,0
cait_s24_224,opponent,13,ILSVRC2012_val_00031783.JPEG,0.0,0.0,0.11564896255731583,0.964617908000946,0.003634099615737796,0.2741836607456207,0.11564896255731583,0.9570981860160828,0.010032172314822674,0.28347960114479065,0
cait_s24_224,rgb_gaussian,12,ILSVRC2012_val_00031762.JPEG,0.0,0.0,0.09777141362428665,0.9624624252319336,0.008280239067971706,0.18612246215343475,0.09777141362428665,0.9455337524414062,0.023342503234744072,0.2274438887834549,0
cait_s24_224,rgb_gaussian,13,ILSVRC2012_val_00031783.JPEG,0.0,0.0,0.11197549849748611,0.9649435877799988,0.0038724758196622133,0.2539999783039093,0.11197549849748611,0.9540691375732422,0.015451452694833279,0.2735867202281952,0
cait_s24_224,feature_gaussian,12,ILSVRC2012_val_00031762.JPEG,0.0,0.0,0.1801387369632721,0.9629005789756775,0.010979339480400085,0.21375508606433868,0.1801387369632721,0.9474999308586121,0.024295108392834663,0.266831636428833,0
cait_s24_224,feature_gaussian,13,ILSVRC2012_val_00031783.JPEG,0.0,0.0,0.07146937400102615,0.9735037684440613,0.0017411034787073731,0.2181224375963211,0.07146937400102615,0.9580398797988892,0.01565946638584137,0.2623826563358307,0
cait_s24_224,phase_only,12,ILSVRC2012_val_00031762.JPEG,0.5,0.012244880199432373,0.0,1.0,2.9802322387695312e-08,0.012244880199432373,0.0,0.978362500667572,0.00638502836227417,0.11916327476501465,10
cait_s24_224,phase_only,13,ILSVRC2012_val_00031783.JPEG,0.8500000238418579,0.07853535562753677,0.0,1.0,4.470348358154297e-08,0.012755036354064941,0.0,0.9896804094314575,0.009441557340323925,0.11868872493505478,17
cait_s24_224,opponent,14,ILSVRC2012_val_00031785.JPEG,1.0,0.19880612194538116,0.10309386998414993,0.9927708506584167,0.00033127222559414804,0.14989794790744781,0.10309386998414993,0.9891899228096008,0.0005697958986274898,0.19880612194538116,20
cait_s24_224,opponent,15,ILSVRC2012_val_00031789.JPEG,0.10000000149011612,0.42147958278656006,0.3002611994743347,0.9754309058189392,0.0026329040993005037,0.41804081201553345,0.3002611994743347,0.9609243273735046,0.006302667316049337,0.4582653045654297,2
cait_s24_224,rgb_gaussian,14,ILSVRC2012_val_00031785.JPEG,0.8500000238418579,0.18062424659729004,0.09272651374340057,0.9899097681045532,0.0005856035277247429,0.1562449038028717,0.09272651374340057,0.9844314455986023,0.0008826078847050667,0.1941632628440857,17
cait_s24_224,rgb_gaussian,15,ILSVRC2012_val_00031789.JPEG,0.05000000074505806,0.39499998092651367,0.21662040054798126,0.9753748178482056,0.002690559020265937,0.40995916724205017,0.21662040054798126,0.9634132385253906,0.006622065789997578,0.4188724458217621,1
cait_s24_224,feature_gaussian,14,ILSVRC2012_val_00031785.JPEG,1.0,0.22293877601623535,0.0781061127781868,0.9920281767845154,0.0003598597540985793,0.16273470222949982,0.0781061127781868,0.9894558191299438,0.0005474377539940178,0.22293877601623535,20
cait_s24_224,feature_gaussian,15,ILSVRC2012_val_00031789.JPEG,0.45000001788139343,0.2727324068546295,0.18725715577602386,0.985395610332489,0.0014925742289051414,0.2737346589565277,0.18725715577602386,0.9779698252677917,0.0027869478799402714,0.33462753891944885,9
cait_s24_224,phase_only,14,ILSVRC2012_val_00031785.JPEG,1.0,0.11108674854040146,0.0,0.9999998211860657,2.9802322387695312e-08,0.01826530694961548,0.0,0.9974623918533325,0.00012562517076730728,0.11108674854040146,20
cait_s24_224,phase_only,15,ILSVRC2012_val_00031789.JPEG,0.699999988079071,0.07230320572853088,0.0,0.9999999403953552,-1.4901161193847656e-08,0.017755091190338135,0.0,0.9893938302993774,0.001049505895934999,0.1582755148410797,14
cait_s24_224,opponent,16,ILSVRC2012_val_00031922.JPEG,1.0,0.41013264656066895,0.3242694139480591,0.9912144541740417,0.0019107334082946181,0.37122446298599243,0.3242694139480591,0.9879875183105469,0.0033317282795906067,0.41013264656066895,20
cait_s24_224,opponent,17,ILSVRC2012_val_00031927.JPEG,0.949999988079071,0.5356820821762085,0.337812215089798,0.9896970987319946,0.0011731869308277965,0.5453673601150513,0.337812215089798,0.9863725900650024,0.0031000105664134026,0.5404693484306335,19
cait_s24_224,rgb_gaussian,16,ILSVRC2012_val_00031922.JPEG,0.75,0.4378095269203186,0.30896323919296265,0.9922001957893372,0.0016758128767833114,0.36844897270202637,0.30896323919296265,0.9849920272827148,0.0034060149919241667,0.4641530513763428,15
