model,sample_index,image_name,layer,production_global_mode,activation_source,grid_h,grid_w,drop_count,gradcam_true_class,gradcam_alternate_class,gradcam_zero,alternate_gradcam_zero,patch_gradcam_spearman,patch_gradcam_top_half_iou,patch_gradcam_top_drop_iou,production_same_activation_spearman,true_alternate_gradcam_spearman,true_alternate_gradcam_top_drop_iou
vit_base_patch16_224,90,ILSVRC2012_val_00029183.JPEG,block12,cls,blocks[11] input (logit-connected fallback),14,14,29,696,697,False,False,0.45916372537612915,0.4736842215061188,0.017543859779834747,0.6989935040473938,0.4484313428401947,0.2083333283662796
vit_base_patch16_224,91,ILSVRC2012_val_00029207.JPEG,block12,cls,blocks[11] input (logit-connected fallback),14,14,29,355,356,False,False,0.4993441700935364,0.4848484992980957,0.0357142873108387,0.7447474002838135,-0.03359019756317139,0.0
vit_base_patch16_224,92,ILSVRC2012_val_00029208.JPEG,block12,cls,blocks[11] input (logit-connected fallback),14,14,29,75,76,False,False,0.7801879048347473,0.7345132827758789,0.260869562625885,0.8052067756652832,-0.5727195143699646,0.0
vit_base_patch16_224,93,ILSVRC2012_val_00029572.JPEG,block12,cls,blocks[11] input (logit-connected fallback),14,14,29,909,910,False,False,0.499167263507843,0.5076923370361328,0.2083333283662796,0.6637840867042542,0.5502777099609375,0.2083333283662796
vit_base_patch16_224,94,ILSVRC2012_val_00029594.JPEG,block12,cls,blocks[11] input (logit-connected fallback),14,14,29,659,660,False,False,0.7989528775215149,0.8846153616905212,0.07407407462596893,0.8050793409347534,-0.6941564679145813,0.0
vit_base_patch16_224,95,ILSVRC2012_val_00029709.JPEG,block12,cls,blocks[11] input (logit-connected fallback),14,14,29,12,13,False,False,0.5577460527420044,0.75,0.017543859779834747,0.6816167235374451,-0.521091103553772,0.0
vit_base_patch16_224,96,ILSVRC2012_val_00029714.JPEG,block12,cls,blocks[11] input (logit-connected fallback),14,14,29,935,936,False,False,0.6749277114868164,0.7043478488922119,0.18367347121238708,0.6048418283462524,0.3816222846508026,0.23404255509376526
vit_base_patch16_224,97,ILSVRC2012_val_00029737.JPEG,block12,cls,blocks[11] input (logit-connected fallback),14,14,29,407,408,False,False,0.5713823437690735,0.5433070659637451,0.13725490868091583,0.7058754563331604,-0.35080206394195557,0.0357142873108387
vit_base_patch16_224,98,ILSVRC2012_val_00029766.JPEG,block12,cls,blocks[11] input (logit-connected fallback),14,14,29,897,898,False,False,0.8428962230682373,0.7818182110786438,0.23404255509376526,0.8929595947265625,-0.521354079246521,0.0
vit_base_patch16_224,99,ILSVRC2012_val_00029780.JPEG,block12,cls,blocks[11] input (logit-connected fallback),14,14,29,434,435,False,False,0.737291693687439,0.7345132827758789,0.05454545468091965,0.6577214002609253,-0.3513806164264679,0.0357142873108387
vit_base_patch16_224,100,ILSVRC2012_val_00029781.JPEG,block12,cls,blocks[11] input (logit-connected fallback),14,14,29,643,644,False,False,0.4673334062099457,0.5076923370361328,0.07407407462596893,0.22834032773971558,-0.28600117564201355,0.05454545468091965
vit_base_patch16_224,101,ILSVRC2012_val_00029802.JPEG,block12,cls,blocks[11] input (logit-connected fallback),14,14,29,772,773,False,False,0.87807697057724,0.8148148059844971,0.2888889014720917,0.8175760507583618,-0.9040505290031433,0.0
